artwork_id,title,artist_id,art_type,year,image_url,description,museum_id,medium,dimensions,museum_page_url,on_view,highlight
artwork_0000011,"Rouen Cathedral, West Façade",claude-monet,painting,1894,"https://api.nga.gov/iiif/413faf9b-5d86-468a-8363-eea43c7fe9ba/full/!800,800/0/default.jpg","Toward the middle of the 1880s, a number of artists became disaffected with impressionism. Monet began to explore painting in a series, or creating groups of works of almost identical subjects. The series paintings were a break from impressionism in two critical respects: the works, based on campaigns in front of the motif, were usually extensively reworked in the studio and lacked the spontaneity integral to impressionism; and, the motif itself was secondary to effects of light and weather. The new qualities of Monet's series paintings were given concentrated expression in the Rouen Cathedral paintings, in which the stone facade fills the canvases. Monet showed 20 of the 30 extant Cathedral works, among them this one, as a group in an 1895 exhibition. Individual paintings, named according to the view and weather conditions depicted, are chiefly distinguished by color, which assumes the principal role in the series. The cumulative impression reported by visitors extended beyond the impact of individual works. The rich surfaces of the paintings seem to imitate the textural fabric of the cathedral's carved stone. Individually the paintings depict a religious edifice, but collectively the series becomes a denial of the solidity of Rouen Cathedral as an entity, and gives precedence to artistic concerns of light, color, and mood. In late January or early February 1892, Monet rented rooms across from Rouen cathedral. He remained until spring, painting its looming façade many times, most often as we see it here, close up and cropped to the sides. The next winter he returned to paint the cathedral again, making in all more than 30 views of it. But it was less the carved Gothic façade that was Monet's subject than the atmosphere—the enveloppe—that surrounded the building. ""To me the motif itself is an insignificant factor,"" Monet said. ""What I want to reproduce is what exists between the motif and me.""",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 100.1 x 65.9 cm (39 3/8 x 25 15/16 in.); framed: 121.6 x 88.3 cm (47 7/8 x 34 3/4 in.),https://www.nga.gov/artworks/46524-rouen-cathedral-west-façade,TRUE,TRUE
artwork_0000012,The Willows,claude-monet,painting,1880,"https://api.nga.gov/iiif/98e60cb0-0cd5-42ec-8e2f-373104b12e3f/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 66.68 × 81.92 cm (26 1/4 × 32 1/4 in.); framed: 90.49 × 106.05 × 9.53 cm (35 5/8 × 41 3/4 × 3 3/4 in.),https://www.nga.gov/artworks/178254-willows,TRUE,FALSE
artwork_0000013,Argenteuil,claude-monet,painting,c. 1872,"https://api.nga.gov/iiif/c6780a7f-2720-433c-9562-552c996c6d04/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 50.4 x 65.2 cm (19 13/16 x 25 11/16 in.); framed: 70.8 x 85.7 x 8.3 cm (27 7/8 x 33 3/4 x 3 1/4 in.),https://www.nga.gov/artworks/52186-argenteuil,TRUE,FALSE
artwork_0000014,The Seine at Giverny,claude-monet,painting,1897,"https://api.nga.gov/iiif/9b536eb8-6b53-42d5-aa3c-5e8b02f0b37a/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 81.5 x 100.5 cm (32 1/16 x 39 9/16 in.); framed: 102.6 x 121.6 x 9.5 cm (40 3/8 x 47 7/8 x 3 3/4 in.),https://www.nga.gov/artworks/46655-seine-giverny,TRUE,FALSE
artwork_0000015,"Banks of the Seine, Vétheuil",claude-monet,painting,1880,"https://api.nga.gov/iiif/5dd2009f-7782-43d8-9892-be5733d8f43b/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 73.4 x 100.5 cm (28 7/8 x 39 9/16 in.); framed: 100.3 x 127.6 x 9.5 cm (39 1/2 x 50 1/4 x 3 3/4 in.),https://www.nga.gov/artworks/46652-banks-seine-vetheuil,TRUE,FALSE
artwork_0000016,The Artist's Garden at Vétheuil,claude-monet,painting,1881,"https://api.nga.gov/iiif/9fc88734-2f9a-4da8-8d46-2b570b201223/full/!800,800/0/default.jpg","Monet planted gardens wherever he lived. When he rented this house at Vétheuil, he made arrangements with the owner to landscape the terraces, which lead down to the Seine. The boy with the wagon is Monet's young son, and on the steps behind him are other members of his extended household. On the path, the brilliant sunlight is dappled with shade that falls in blues, plums, and various greens. Figures and faces are defined —briefly— with color. The large flowerpots were Monet's, and he took them with him each time he moved, using them in other gardens. They are ""blue and white"" only in our understanding: examined up close they are blue and green where they reflect the grass behind them, elsewhere tinged with gold or pink. By the early 1880s, when this work was painted, Monet had become increasingly interested in the painted surface itself and less concerned with capturing a spontaneous effect of light and atmosphere. The very composition of this painting, with its high horizon, traps our eye in the canvas—even the path is blocked in the distance by the rising steps. We are forced back to the surface, where the paint is textured and heavily layered. At close range, these brushstrokes, though still inspired by nature, seem less descriptive than decorative.",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 151.5 x 121 cm (59 5/8 x 47 5/8 in.); framed: 177.8 x 147.3 x 9.5 cm (70 x 58 x 3 3/4 in.),https://www.nga.gov/artworks/52189-artists-garden-vetheuil,TRUE,FALSE
artwork_0000017,"Waterloo Bridge, Gray Day",claude-monet,painting,1903,"https://api.nga.gov/iiif/5f0f2f71-1428-4fc7-a951-0fab4fe39ffd/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 65.1 x 100 cm (25 5/8 x 39 3/8 in.); framed: 84.4 x 120 cm (33 1/4 x 47 1/4 in.),https://www.nga.gov/artworks/46658-waterloo-bridge-gray-day,TRUE,FALSE
artwork_0000018,Ships Riding on the Seine at Rouen,claude-monet,painting,1872/1873,"https://api.nga.gov/iiif/73069488-cbc0-412b-a9fd-8094e24e2915/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 37.7 x 46 cm (14 13/16 x 18 1/8 in.); framed: 59.7 x 68 x 10.2 cm (23 1/2 x 26 3/4 x 4 in.),https://www.nga.gov/artworks/52187-ships-riding-seine-rouen,TRUE,FALSE
artwork_0000019,"The Houses of Parliament, Sunset",claude-monet,painting,1903,"https://api.nga.gov/iiif/9eae6258-ec1c-442f-b353-a89cff510113/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 81.3 x 92.5 cm (32 x 36 7/16 in.); framed: 107 x 117.5 x 8.8 cm (42 1/8 x 46 1/4 x 3 7/16 in.),https://www.nga.gov/artworks/46523-houses-parliament-sunset,TRUE,FALSE
artwork_0000020,Jerusalem Artichoke Flowers,claude-monet,painting,1880,"https://api.nga.gov/iiif/5bfb4c45-feb8-4dbb-8b77-519c0560dcaf/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 99.6 x 73 cm (39 3/16 x 28 3/4 in.); framed: 121.9 x 95.2 cm (48 x 37 1/2 in.),https://www.nga.gov/artworks/46656-jerusalem-artichoke-flowers,TRUE,FALSE
artwork_0000021,"Palazzo da Mula, Venice",claude-monet,painting,1908,"https://api.nga.gov/iiif/f339a180-c87a-446b-8605-060f7b53f1a3/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 61.4 x 80.5 cm (24 3/16 x 31 11/16 in.); framed: 86.3 x 105.4 x 10.7 cm (34 x 41 1/2 x 4 3/16 in.),https://www.nga.gov/artworks/46657-palazzo-da-mula-venice,TRUE,FALSE
artwork_0000022,The Bridge at Argenteuil,claude-monet,painting,1874,"https://api.nga.gov/iiif/7372b15a-3830-43bf-8c41-4836619312b7/full/!800,800/0/default.jpg","From a distance of ten feet or so, Monet's brushstrokes blend to yield a convincing view of the Seine and the pleasure boats that drew tourists to Argenteuil. Up close, however, each dab of paint is distinct, and the scene dissolves into a mosaic of paint—brilliant, unblended tones of blue, red, green, yellow. In the water, quick, fluid skips of the brush mimic the lapping surface. In the trees, thicker paint is applied with denser, stubbier strokes. The figure in the sailboat is only a ghostly wash of dusty blue, the women rowing nearby are indicated by mere shorthand. In the early years of impressionism, Monet, Renoir, and others strove to capture the fleeting effects of light and atmosphere on the landscape and to transcribe directly and quickly their sensory experience of it. Monet advised the American artist Lilla Cabot Perry, ""When you go out to paint, try to forget what objects you have before you, a tree, a house, a field or whatever. Merely think here is a little square of blue, here an oblong of pink, here a streak of yellow, and paint it just as it looks to you, the exact color and shape, until it gives your own naïve impression of the scene before you.""",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 60 x 79.7 cm (23 5/8 x 31 3/8 in.); framed: 78.1 x 97.8 x 4.7 cm (30 3/4 x 38 1/2 x 1 7/8 in.),https://www.nga.gov/artworks/61374-bridge-argenteuil,TRUE,FALSE
artwork_0000023,A King Charles Spaniel,édouard-manet,painting,c. 1866,"https://api.nga.gov/iiif/3877ee5f-430c-4e5d-a270-0782e17e1314/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on linen,overall: 46 x 38 cm (18 1/8 x 14 15/16 in.); framed: 66 x 57.8 x 8.9 cm (26 x 22 3/4 x 3 1/2 in.),https://www.nga.gov/artworks/52180-king-charles-spaniel,TRUE,FALSE
artwork_0000024,The Dead Toreador,édouard-manet,painting,probably 1864,"https://api.nga.gov/iiif/5136b9e2-a5e9-406f-9c89-0a36c12a7f19/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 75.9 × 153.3 cm (29 7/8 × 60 3/8 in.); framed: 104.4 × 181.93 × 10.16 cm (41 1/8 × 71 5/8 × 4 in.),https://www.nga.gov/artworks/1179-dead-toreador,TRUE,FALSE
artwork_0000025,The Tragic Actor (Rouvière as Hamlet),édouard-manet,painting,1866,"https://api.nga.gov/iiif/cd58282b-1b91-47f3-8434-03f91efb6f9d/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 187.2 x 108.1 cm (73 11/16 x 42 9/16 in.); framed: 216.6 x 138.4 cm (85 1/4 x 54 1/2 in.),https://www.nga.gov/artworks/45878-tragic-actor-rouviere-hamlet,TRUE,FALSE
artwork_0000026,Masked Ball at the Opera,édouard-manet,painting,1873,"https://api.nga.gov/iiif/67379c7a-3255-40a9-8716-13af1c46356a/full/!800,800/0/default.jpg","Manet came from a well–to–do family, and this painting provides a glimpse of the sophisticated Parisian world he loved. He was uncomfortable in the countryside, preferring instead the finery of the city. These elegant men and coquettish young women are attending a masked ball held each year during Lent. ""Imagine,"" ran a description in the newspaper Figaro, ""the opera house packed to the rafters, the boxes furnished out with all the pretty showgirls of Paris. . . . "" There is little doubt about the risqué nature of the evening, where masked young women, likely respectable ladies concealing their identities, scantily clad members of the Parisian demimonde, and well–dressed young men all mingle together. Manet sketched the scene on site, but painted it over a period of months in his studio. He posed several of his friends—noted writers, artists, and musicians—and even included himself in the crowded scene. He is probably the bearded blond man at right who looks out toward the viewer. At his feet, a fallen dance card bears the painter's signature. At the edges of the horizontal painting—a format Manet used often—figures end abruptly. At top, legs dangle over a railing. In contrast to the self–contained compositions of academic art, we are instantly aware that we see only a part of the scene and that it extends beyond the picture frame.",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 59.1 x 72.5 cm (23 1/4 x 28 9/16 in.); framed: 80 x 94 cm (31 1/2 x 37 in.),https://www.nga.gov/artworks/61246-masked-ball-opera,TRUE,FALSE
artwork_0000027,The Old Musician,édouard-manet,painting,1862,"https://api.nga.gov/iiif/8d7eff38-fff0-4f9b-9e36-9088b412864e/full/!800,800/0/default.jpg","A ragtag group of people gathers around an elderly man holding a violin. He pauses, as if interrupted mid performance, and gazes directly at us. Who are these people? And where are they? Beginning in the 1850s, Paris went through extensive urban renewal. The government tore down many older neighborhoods, forcing poor residents into the city’s undeveloped outskirts. Here Manet depicts homeless and marginalized people on a large scale normally reserved for the wealthy and powerful. He makes them visible, challenging us to acknowledge their humanity.",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 187.4 x 248.2 cm (73 3/4 x 97 11/16 in.); framed: 238.76 x 297.82 cm (94 x 117 1/4 in.); framed weight: 275 lb.,https://www.nga.gov/artworks/46637-old-musician,TRUE,FALSE
artwork_0000028,Plum Brandy,édouard-manet,painting,c. 1877,"https://api.nga.gov/iiif/034ec3ed-7a47-4f14-aa8a-ce48cb6e11a5/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 73.6 x 50.2 cm (29 x 19 3/4 in.); framed: 87.6 x 64.1 x 5.7 cm (34 1/2 x 25 1/4 x 2 1/4 in.),https://www.nga.gov/artworks/53034-plum-brandy,TRUE,FALSE
artwork_0000029,Self-Portrait,paul-gauguin,painting,1889,"https://api.nga.gov/iiif/1e92536c-e274-4c31-bbe9-cdb6aba6c162/full/!800,800/0/default.jpg","Are artists sinners or saints? Gauguin paints himself as both. The upper half of this self-portrait depicts him as a saint. With a halo above his head, he looks away from the apples, the forbidden fruit from the Tree of Knowledge. (In the biblical story, eating one of these apples was the original sin of humanity.) But in the lower half, Gauguin appears as a sinner. He holds the snake who tempted Adam and Eve to eat the forbidden fruit. The modern artist, the painting suggests, rises above good and evil. Gauguin is pointing to deeper truths, free from what he considered society’s restrictive morality. He uses color and form to help us see the world in a new way.",national-gallery-of-art-washingtondc-us,Oil on wood,overall: 79.2 x 51.3 cm (31 3/16 x 20 3/16 in.),https://www.nga.gov/artworks/46625-self-portrait,TRUE,TRUE
artwork_0000030,Madame Alexandre Kohler,paul-gauguin,painting,1887/1888,"https://api.nga.gov/iiif/659b932c-1ffb-4b6b-806e-c095d9ff10f4/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on linen,overall: 46.3 x 38 cm (18 1/4 x 14 15/16 in.); framed: 61.6 x 52.7 cm (24 1/4 x 20 3/4 in.),https://www.nga.gov/artworks/46502-madame-alexandre-kohler,TRUE,FALSE
artwork_0000031,Pair of Wooden Shoes (Sabots) [right],paul-gauguin,sculpture,1889/1890,"https://api.nga.gov/iiif/d1b72e2d-e88a-4949-a4db-a373ab226376/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,"Polychromed oak, leather, and iron nails",overall: 12.8 x 32.7 x 11.2 cm (5 1/16 x 12 7/8 x 4 7/16 in.),https://www.nga.gov/artworks/46714-pair-wooden-shoes-sabots-right,TRUE,FALSE
artwork_0000032,Pair of Wooden Shoes (Sabots) [left],paul-gauguin,sculpture,1889/1890,"https://api.nga.gov/iiif/44a731a9-e900-4898-a282-01034fcaa6ca/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,"Polychromed oak, leather, and iron nails",overall: 12.9 x 32.7 x 11.3 cm (5 1/16 x 12 7/8 x 4 7/16 in.),https://www.nga.gov/artworks/112663-pair-wooden-shoes-sabots-left,TRUE,FALSE
artwork_0000033,Père Paillard,paul-gauguin,painting,1902,"https://api.nga.gov/iiif/04b0b600-7f6b-41b6-b194-10ff7103fcf8/full/!800,800/0/default.jpg","Gauguin purposefully displayed his Père Paillard and its female companion piece, Thérèse, in front of his Polynesian home (which he named the House of Pleasure), so that islanders passing by could appreciate the two carved works. Their meaning was evident to everyone. From Père Paillard (Father Lechery or Debauchery) inscribed on its base, they recognized the local Catholic bishop, Monseigneur Martin, who entreated Gauguin to stop his liaisons with local women, while pursuing them himself (with Thérèse and others) despite his vows of celibacy. Gauguin shows the bishop for what he considered him to be: a nude, horned devil. Though outwardly pious, Père Paillard's solemn expression and praying hands fail to mask his inner desires. Two nude women, carved in shallow relief near the base of the sculpture, may allude to his private predilection. Its specific context notwithstanding, the sculpture also forcefully embodies the artist's primitive aesthetic and anti-Western values. Gauguin retained the cylindrical form of the miro wood log (native to the Marquesas Islands where he moved in his final years) in the finished figure, a reflection of his concept of beauty as a harmony between subject and material. For the most part, the sculpture's golden brown surface retains the primitive, rhythmic patterns of the artist's chisels and gouges; only the figure's cheeks, forehead, and jutting chin are filed smooth. Gold paint, used to accent the bishop's eyes, the women, and the inscription, has largely disappeared over time.",national-gallery-of-art-washingtondc-us,Painted miro wood,overall: 67.9 x 18 x 20.7 cm (26 3/4 x 7 1/16 x 8 1/8 in.),https://www.nga.gov/artworks/46713-pere-paillard,TRUE,FALSE
artwork_0000034,Te Pape Nave Nave (Delectable Waters),paul-gauguin,painting,1898,"https://api.nga.gov/iiif/b8cbb100-dee4-45de-b225-20dd379b5619/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Oil on linen,overall: 74 × 95.3 cm (29 1/8 × 37 1/2 in.); framed: 90.8 × 111.4 × 7.62 cm (35 3/4 × 43 7/8 × 3 in.),https://www.nga.gov/artworks/54130-te-pape-nave-nave-delectable-waters,TRUE,TRUE
artwork_0000035,Parau na te Varua ino (Words of the Devil),paul-gauguin,painting,1892,"https://api.nga.gov/iiif/944afd93-9c4a-47e4-be24-c0d2890f3ae6/full/!800,800/0/default.jpg","Lured to Tahiti in 1891 by reports of its unspoiled culture, Gauguin was disappointed by its civilized capital and moved to the countryside, where he found an approximation of the tropical paradise he had expected. The Tahiti of his depictions was derived from native folklore supplemented by material culled from books written by earlier European visitors and overlaid with allusions to western culture. The pose of the standing nude, for instance, is derived from a medieval statue of the biblical Eve and more distantly from the Venus Pudica of classical sculpture. The artist placed this rich combination of references to original sin, the loss of virginity, and occidental standards of beauty and art within the context of his Tahitian mythology and primitive, non–European aesthetics. The meaning of the title Parau na te Varua ino is unclear. The phrase varua ino, evil spirit or devil, refers to the masked kneeling figure and parau means words, suggesting the interpretation ""Words of the Devil."" The meaning of many of Gauguin's Tahitian paintings remains elusive. There is little likelihood that Gauguin's original audience would have been able to interpret the Tahitian legends that Gauguin carefully inscribed on most of the 66 paintings he took back to Paris in 1892.",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 91.76 × 68.5 cm (36 1/8 × 26 15/16 in.); framed: 112.4 × 88.27 × 8.89 cm (44 1/4 × 34 3/4 × 3 1/2 in.),https://www.nga.gov/artworks/53130-parau-na-te-varua-ino-words-devil,TRUE,TRUE
artwork_0000036,Eve,paul-gauguin,sculpture,1890,"https://api.nga.gov/iiif/5001851c-5a60-4108-94a8-23811bf88d44/full/!800,800/0/default.jpg",,national-gallery-of-art-washingtondc-us,Glazed ceramic,overall: 60.6 x 27.9 x 27.3 cm (23 7/8 x 11 x 10 3/4 in.),https://www.nga.gov/artworks/52381-eve,TRUE,FALSE
artwork_0000037,Fatata te Miti (By the Sea),paul-gauguin,painting,1892,"https://api.nga.gov/iiif/4f9268d4-c250-4dd8-9bee-d08d8942b8d1/full/!800,800/0/default.jpg","Across the winding trunk of a flowering tropical tree, we see two Tahitian women. They undress for a swim in the sea. Gauguin uses lush colors and a striking composition to convey the uninhibited joy of plunging naked into the waves. The materialism and secularism of modern French culture disgusted Gauguin. Inspired by literature, the artist searched for a fantastical place where spiritually healthy people lived in harmony with nature. Believing that he had found that in Tahiti, he set about painting his idealized experience. Works like this one are more about the artist’s own thoughts and feelings than the real people surrounding him. ",national-gallery-of-art-washingtondc-us,Oil on canvas,overall: 67.9 x 91.5 cm (26 3/4 x 36 in.); framed: 92.4 x 114.9 x 10.1 cm (36 3/8 x 45 1/4 x 4 in.),https://www.nga.gov/artworks/46624-fatata-te-miti-sea,TRUE,TRUE
